## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[E14_53319_Beads_S58_ME_L001_sorted.bam] OUTPUT=E14_53319_Beads_S58_ME_L001_dedup.bam METRICS_FILE=E14_53319_Beads_S58_ME_L001_dedup_metrics.txt REMOVE_DUPLICATES=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Nov 08 00:26:23 CET 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
E14_53319_Beads_S58_ME_L001	109905	59689589	155759	238025	65711	8693004	5636485	0.146053	459759057

## HISTOGRAM	java.lang.Double
BIN	VALUE	all_sets	optical_sets	non_optical_sets
1.0	1.097667	43726379	0	48094537
2.0	2.061689	6108341	4188088	2757051
3.0	2.908339	954644	543558	136705
4.0	3.651905	165887	88997	7538
5.0	4.30494	32216	17257	559
6.0	4.878466	6839	3605	109
7.0	5.382163	1665	863	50
8.0	5.824533	432	195	13
9.0	6.213043	111	57	7
10.0	6.55425	34	15	5
11.0	6.853914	19	7	3
12.0	7.117093	7	3	1
13.0	7.348229	4	0	1
14.0	7.551224	2	0	1
15.0	7.729503	0	0	0
16.0	7.886076	0	0	0
17.0	8.023586	0	0	0
18.0	8.144353	1	0	1
19.0	8.250417	0	0	0
20.0	8.343567	2	0	2
21.0	8.425376	0	0	0
22.0	8.497224	0	0	0
23.0	8.560324	0	0	0
24.0	8.615742	0	0	0
25.0	8.664412	0	0	0
26.0	8.707157	1	0	2
27.0	8.744697	1	0	0
28.0	8.777667	0	0	0
29.0	8.806622	0	0	0
30.0	8.832052	0	0	0
31.0	8.854386	0	0	0
32.0	8.874001	0	0	0
33.0	8.891227	0	0	0
34.0	8.906356	0	0	0
35.0	8.919643	0	0	0
36.0	8.931313	0	0	0
37.0	8.941561	0	0	0
38.0	8.950562	0	0	0
39.0	8.958467	0	0	0
40.0	8.965409	0	0	0
41.0	8.971506	0	0	0
42.0	8.976861	0	0	0
43.0	8.981564	0	0	0
44.0	8.985694	0	0	0
45.0	8.989322	0	0	0
46.0	8.992507	0	0	0
47.0	8.995305	0	0	0
48.0	8.997763	0	0	0
49.0	8.999921	0	0	0
50.0	9.001816	0	0	0
51.0	9.00348	0	0	0
52.0	9.004942	0	0	0
53.0	9.006226	0	0	0
54.0	9.007354	0	0	0
55.0	9.008344	0	0	0
56.0	9.009214	0	0	0
57.0	9.009977	0	0	0
58.0	9.010648	0	0	0
59.0	9.011237	0	0	0
60.0	9.011755	0	0	0
61.0	9.012209	0	0	0
62.0	9.012608	0	0	0
63.0	9.012959	0	0	0
64.0	9.013267	0	0	0
65.0	9.013537	0	0	0
66.0	9.013774	0	0	0
67.0	9.013983	0	0	0
68.0	9.014166	0	0	0
69.0	9.014327	0	0	0
70.0	9.014468	0	0	0
71.0	9.014592	0	0	0
72.0	9.014701	0	0	0
73.0	9.014797	0	0	0
74.0	9.014881	0	0	0
75.0	9.014955	0	0	0
76.0	9.01502	0	0	0
77.0	9.015077	0	0	0
78.0	9.015127	0	0	0
79.0	9.01517	0	0	0
80.0	9.015209	0	0	0
81.0	9.015243	0	0	0
82.0	9.015273	0	0	0
83.0	9.015299	0	0	0
84.0	9.015322	0	0	0
85.0	9.015342	0	0	0
86.0	9.01536	0	0	0
87.0	9.015375	0	0	0
88.0	9.015389	0	0	0
89.0	9.015401	0	0	0
90.0	9.015411	0	0	0
91.0	9.01542	0	0	0
92.0	9.015429	0	0	0
93.0	9.015436	0	0	0
94.0	9.015442	0	0	0
95.0	9.015447	0	0	0
96.0	9.015452	0	0	0
97.0	9.015457	0	0	0
98.0	9.01546	0	0	0
99.0	9.015464	0	0	0
100.0	9.015466	0	0	0

