## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[E15_46004_Columns_S62_ME_L001_sorted.bam] OUTPUT=E15_46004_Columns_S62_ME_L001_dedup.bam METRICS_FILE=E15_46004_Columns_S62_ME_L001_dedup_metrics.txt REMOVE_DUPLICATES=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Nov 08 02:07:44 CET 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
E15_46004_Columns_S62_ME_L001	100430	62011487	150825	216970	61485	8736354	5308678	0.141264	449909307

## HISTOGRAM	java.lang.Double
BIN	VALUE	all_sets	optical_sets	non_optical_sets
1.0	1.087331	45878587	0	50031765
2.0	2.034663	6280548	4096169	3070538
3.0	2.860023	933631	475254	162624
4.0	3.579114	149526	67238	9358
5.0	4.205619	26366	11360	665
6.0	4.751459	4997	2220	111
7.0	5.227019	1103	439	43
8.0	5.64135	271	123	14
9.0	6.002333	68	19	7
10.0	6.316839	22	10	1
11.0	6.59085	4	1	1
12.0	6.829582	4	0	0
13.0	7.037575	2	0	2
14.0	7.218789	0	0	0
15.0	7.376671	0	0	0
16.0	7.514225	0	0	0
17.0	7.634068	0	0	0
18.0	7.738481	0	0	0
19.0	7.82945	0	0	0
20.0	7.908706	0	0	0
21.0	7.977758	0	0	0
22.0	8.03792	0	0	0
23.0	8.090335	0	0	0
24.0	8.136001	0	0	0
25.0	8.175788	0	0	0
26.0	8.210452	0	0	0
27.0	8.240653	0	0	0
28.0	8.266966	0	0	0
29.0	8.28989	0	0	0
30.0	8.309863	0	0	0
31.0	8.327265	0	0	0
32.0	8.342426	0	0	0
33.0	8.355634	0	0	1
34.0	8.367143	0	0	0
35.0	8.377169	1	0	0
36.0	8.385904	0	0	1
37.0	8.393515	1	0	0
38.0	8.400146	0	0	1
39.0	8.405923	0	0	0
40.0	8.410956	0	0	0
41.0	8.415342	1	0	0
42.0	8.419162	0	0	0
43.0	8.422491	1	0	1
44.0	8.425391	0	0	0
45.0	8.427918	0	0	0
46.0	8.430119	0	0	0
47.0	8.432037	0	0	0
48.0	8.433708	0	0	0
49.0	8.435164	0	0	0
50.0	8.436432	0	0	0
51.0	8.437537	0	0	0
52.0	8.4385	0	0	0
53.0	8.439339	0	0	0
54.0	8.44007	0	0	0
55.0	8.440707	0	0	0
56.0	8.441261	0	0	0
57.0	8.441745	0	0	0
58.0	8.442166	0	0	0
59.0	8.442533	0	0	0
60.0	8.442852	0	0	0
61.0	8.443131	0	0	0
62.0	8.443373	0	0	0
63.0	8.443585	0	0	0
64.0	8.443769	0	0	0
65.0	8.443929	0	0	0
66.0	8.444069	0	0	0
67.0	8.444191	0	0	0
68.0	8.444297	0	0	0
69.0	8.44439	0	0	0
70.0	8.44447	0	0	0
71.0	8.44454	0	0	0
72.0	8.444601	0	0	0
73.0	8.444655	0	0	0
74.0	8.444701	0	0	0
75.0	8.444742	0	0	0
76.0	8.444777	0	0	0
77.0	8.444807	0	0	0
78.0	8.444834	0	0	0
79.0	8.444858	0	0	0
80.0	8.444878	0	0	0
81.0	8.444896	0	0	0
82.0	8.444911	0	0	0
83.0	8.444924	0	0	0
84.0	8.444936	0	0	0
85.0	8.444946	0	0	0
86.0	8.444955	0	0	0
87.0	8.444963	0	0	0
88.0	8.44497	0	0	0
89.0	8.444975	0	0	0
90.0	8.444981	0	0	0
91.0	8.444985	0	0	0
92.0	8.444989	0	0	0
93.0	8.444992	0	0	0
94.0	8.444995	0	0	0
95.0	8.444998	0	0	0
96.0	8.445	0	0	0
97.0	8.445002	0	0	0
98.0	8.445004	0	0	0
99.0	8.445005	0	0	0
100.0	8.445006	0	0	0

