## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[A02975_S35_sorted.bam] OUTPUT=A02975_S35_dedup.bam METRICS_FILE=A02975_S35_dedup_metrics.txt REMOVE_DUPLICATES=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Nov 10 21:04:38 CET 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
A02975_S35	81176	22503078	45656	99210	27056	1607385	137592	0.071901	162625295

## HISTOGRAM	java.lang.Double
BIN	VALUE	all_sets	optical_sets	non_optical_sets
1.0	1.005736	19388519	0	19509294
2.0	1.881504	1413222	135295	1307816
3.0	2.6441	88125	1138	74070
4.0	3.308147	5448	7	4260
5.0	3.886382	347	0	229
6.0	4.389893	28	0	20
7.0	4.828337	0	0	0
8.0	5.210123	2	0	2
9.0	5.542571	0	0	0
10.0	5.832058	0	0	0
11.0	6.084136	0	0	0
12.0	6.303638	0	0	0
13.0	6.494775	0	0	0
14.0	6.661212	1	0	1
15.0	6.806141	1	0	1
16.0	6.932341	0	0	0
17.0	7.042233	0	0	0
18.0	7.137923	0	0	0
19.0	7.221248	0	0	0
20.0	7.293805	0	0	0
21.0	7.356986	0	0	0
22.0	7.412002	0	0	0
23.0	7.459908	0	0	0
24.0	7.501624	0	0	0
25.0	7.537949	0	0	0
26.0	7.56958	0	0	0
27.0	7.597123	0	0	0
28.0	7.621107	0	0	0
29.0	7.641992	0	0	0
30.0	7.660177	0	0	0
31.0	7.676013	0	0	0
32.0	7.689802	0	0	0
33.0	7.701809	0	0	0
34.0	7.712265	0	0	0
35.0	7.721369	0	0	0
36.0	7.729297	0	0	0
37.0	7.736201	0	0	0
38.0	7.742212	0	0	0
39.0	7.747447	0	0	0
40.0	7.752005	0	0	0
41.0	7.755974	0	0	0
42.0	7.75943	0	0	0
43.0	7.762439	0	0	0
44.0	7.76506	0	0	0
45.0	7.767342	0	0	0
46.0	7.769329	0	0	0
47.0	7.771059	0	0	0
48.0	7.772566	0	0	0
49.0	7.773878	0	0	0
50.0	7.77502	0	0	0
51.0	7.776015	0	0	0
52.0	7.776881	0	0	0
53.0	7.777636	0	0	0
54.0	7.778293	0	0	0
55.0	7.778864	0	0	0
56.0	7.779362	0	0	0
57.0	7.779796	0	0	0
58.0	7.780174	0	0	0
59.0	7.780503	0	0	0
60.0	7.780789	0	0	0
61.0	7.781038	0	0	0
62.0	7.781255	0	0	0
63.0	7.781444	0	0	0
64.0	7.781609	0	0	0
65.0	7.781752	0	0	0
66.0	7.781877	0	0	0
67.0	7.781986	0	0	0
68.0	7.782081	0	0	0
69.0	7.782163	0	0	0
70.0	7.782235	0	0	0
71.0	7.782297	0	0	0
72.0	7.782352	0	0	0
73.0	7.782399	0	0	0
74.0	7.78244	0	0	0
75.0	7.782476	0	0	0
76.0	7.782508	0	0	0
77.0	7.782535	0	0	0
78.0	7.782559	0	0	0
79.0	7.782579	0	0	0
80.0	7.782597	0	0	0
81.0	7.782613	0	0	0
82.0	7.782627	0	0	0
83.0	7.782638	0	0	0
84.0	7.782649	0	0	0
85.0	7.782658	0	0	0
86.0	7.782666	0	0	0
87.0	7.782672	0	0	0
88.0	7.782678	0	0	0
89.0	7.782684	0	0	0
90.0	7.782688	0	0	0
91.0	7.782692	0	0	0
92.0	7.782695	0	0	0
93.0	7.782698	0	0	0
94.0	7.782701	0	0	0
95.0	7.782703	0	0	0
96.0	7.782705	0	0	0
97.0	7.782707	0	0	0
98.0	7.782708	0	0	0
99.0	7.78271	0	0	0
100.0	7.782711	0	0	0

