## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[E15_46004_Promega_S63_ME_L001_sorted.bam] OUTPUT=E15_46004_Promega_S63_ME_L001_dedup.bam METRICS_FILE=E15_46004_Promega_S63_ME_L001_dedup_metrics.txt REMOVE_DUPLICATES=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Nov 08 02:34:30 CET 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
E15_46004_Promega_S63_ME_L001	79551	46815590	84080	158691	44119	6599824	3861293	0.141326	322396867

## HISTOGRAM	java.lang.Double
BIN	VALUE	all_sets	optical_sets	non_optical_sets
1.0	1.083536	34633394	0	37638085
2.0	2.020622	4737097	2983578	2426955
3.0	2.83105	705518	341536	141485
4.0	3.531941	114259	49532	8548
5.0	4.138099	20263	8607	606
6.0	4.662329	4024	1675	64
7.0	5.115704	907	397	9
8.0	5.5078	222	83	6
9.0	5.846901	51	25	1
10.0	6.140169	21	9	1
11.0	6.393798	4	0	1
12.0	6.613147	1	0	1
13.0	6.802849	1	0	0
14.0	6.96691	0	0	0
15.0	7.108797	0	0	0
16.0	7.231507	0	0	0
17.0	7.337631	0	0	0
18.0	7.429411	1	0	1
19.0	7.508786	0	0	0
20.0	7.577433	0	0	0
21.0	7.636802	1	0	1
22.0	7.688146	0	0	0
23.0	7.73255	0	0	0
24.0	7.770953	0	0	1
25.0	7.804166	1	0	1
26.0	7.832889	1	0	0
27.0	7.85773	0	0	0
28.0	7.879213	0	0	0
29.0	7.897793	0	0	0
30.0	7.913862	0	0	0
31.0	7.927759	0	0	0
32.0	7.939777	0	0	0
33.0	7.950171	0	0	0
34.0	7.95916	0	0	0
35.0	7.966934	0	0	0
36.0	7.973658	0	0	0
37.0	7.979472	0	0	0
38.0	7.984501	0	0	0
39.0	7.98885	0	0	0
40.0	7.992612	0	0	0
41.0	7.995865	0	0	0
42.0	7.998678	0	0	0
43.0	8.001111	0	0	0
44.0	8.003215	0	0	0
45.0	8.005035	0	0	0
46.0	8.006608	0	0	0
47.0	8.007969	0	0	0
48.0	8.009147	0	0	0
49.0	8.010165	0	0	0
50.0	8.011045	0	0	0
51.0	8.011806	0	0	0
52.0	8.012465	0	0	0
53.0	8.013034	0	0	0
54.0	8.013527	0	0	0
55.0	8.013953	0	0	0
56.0	8.014321	0	0	0
57.0	8.01464	0	0	0
58.0	8.014915	0	0	0
59.0	8.015154	0	0	0
60.0	8.01536	0	0	0
61.0	8.015538	0	0	0
62.0	8.015692	0	0	0
63.0	8.015826	0	0	0
64.0	8.015941	0	0	0
65.0	8.016041	0	0	0
66.0	8.016127	0	0	0
67.0	8.016201	0	0	0
68.0	8.016266	0	0	0
69.0	8.016322	0	0	0
70.0	8.01637	0	0	0
71.0	8.016412	0	0	0
72.0	8.016448	0	0	0
73.0	8.016479	0	0	0
74.0	8.016506	0	0	0
75.0	8.016529	0	0	0
76.0	8.016549	0	0	0
77.0	8.016567	0	0	0
78.0	8.016582	0	0	0
79.0	8.016595	0	0	0
80.0	8.016606	0	0	0
81.0	8.016616	0	0	0
82.0	8.016624	0	0	0
83.0	8.016632	0	0	0
84.0	8.016638	0	0	0
85.0	8.016644	0	0	0
86.0	8.016648	0	0	0
87.0	8.016652	0	0	0
88.0	8.016656	0	0	0
89.0	8.016659	0	0	0
90.0	8.016662	0	0	0
91.0	8.016664	0	0	0
92.0	8.016666	0	0	0
93.0	8.016668	0	0	0
94.0	8.016669	0	0	0
95.0	8.01667	0	0	0
96.0	8.016671	0	0	0
97.0	8.016672	0	0	0
98.0	8.016673	0	0	0
99.0	8.016674	0	0	0
100.0	8.016675	0	0	0

