124491199	0	total (QC-passed reads + QC-failed reads)
124340374	0	primary
0	0	secondary
150825	0	supplementary
0	0	duplicates
0	0	primary duplicates
124274229	0	mapped
99.83%	N/A	mapped %
124123404	0	primary mapped
99.83%	N/A	primary mapped %
124340374	0	paired in sequencing
62170187	0	read1
62170187	0	read2
122017052	0	properly paired
98.13%	N/A	properly paired %
124022974	0	with itself and mate mapped
100430	0	singletons
0.08%	N/A	singletons %
1593786	0	with mate mapped to a different chr
980899	0	with mate mapped to a different chr (mapQ>=5)
