45232198	0	total (QC-passed reads + QC-failed reads)
45186542	0	primary
0	0	secondary
45656	0	supplementary
0	0	duplicates
0	0	primary duplicates
45132988	0	mapped
99.78%	N/A	mapped %
45087332	0	primary mapped
99.78%	N/A	primary mapped %
45186542	0	paired in sequencing
22593271	0	read1
22593271	0	read2
44631228	0	properly paired
98.77%	N/A	properly paired %
45006156	0	with itself and mate mapped
81176	0	singletons
0.18%	N/A	singletons %
250260	0	with mate mapped to a different chr
160808	0	with mate mapped to a different chr (mapQ>=5)
